word,count
the,993
and,862
to,683
of,610
i,547
you,522
my,502
a,497
it,419
in,389
that,376
ham,337
is,315
not,300
his,285
this,275
with,254
your,253
but,249
for,243
me,228
lord,211
what,211
as,205
he,202
be,191
so,189
him,178
haue,175
king,172
will,149
no,137
our,130
we,128
on,123
are,121
if,111
all,109
then,108
shall,107
by,105
thou,105
come,104
let,104
or,103
do,101
hamlet,100
good,98
her,95
hor,95
now,92
there,92
thy,90
how,89
more,89
they,88
from,87
enter,85
at,81
oh,81
was,81
like,77
most,77
well,70
know,69
tis,69
would,68
selfe,67
them,67
loue,65
may,65
qu,62
sir,62
vs,62
did,60
laer,60
which,60
why,60
giue,59
ile,58
must,58
thee,58
hath,57
ophe,56
where,56
speake,55
make,54
should,54
an,53
too,53
am,52
out,52
such,52
doe,51
say,51
when,51
father,50
heere,50
vpon,50
pol,49
very,49
go,48
their,48
man,46
one,46
see,46
she,45
some,45
had,44
mine,44
these,44
time,44
heauen,43
much,43
rosin,43
tell,43
thinke,42
who,42
thus,41
horatio,40
mother,40
play,40
queene,39
night,38
o,38
polon,38
yet,37
death,36
laertes,35
vp,35
againe,34
both,34
can,34
soule,33
th,33
life,32
nor,32
take,32
could,31
looke,31
mar,31
owne,31
dead,30
heare,30
might,30
clo,29
heart,29
made,29
ophelia,28
pray,28
away,27
cannot,27
doth,27
hast,27
indeed,27
into,27
leaue,27
nothing,27
other,27
whose,27
downe,26
head,26
matter,26
nay,26
were,26
&,25
god,25
ha,25
hold,25
thing,25
world,25
day,24
nature,24
neuer,24
call,23
comes,23
exeunt,23
put,22
set,22
sweet,22
though,22
done,21
earth,21
euen,21
ghost,21
mad,21
madnesse,21
true,21
two,21
against,20
deere,20
denmarke,20
england,20
eyes,20
faire,20
fathers,20
feare,20
follow,20
guild,20
hee,20
himselfe,20
i'th,20
polonius,20
poore,20
seene,20
sonne,20
those,20
within,20
about,19
friends,19
great,19
hand,19
meanes,19
off,19
once,19
players,19
shew,19
till,19
words,19
does,18
exit,18
osr,18
part,18
still,18
any,17
before,17
beleeue,17
eare,17
end,17
first,17
goe,17
guildensterne,17
keepe,17
long,17
old,17
thoughts,17
art,16
bee,16
body,16
daughter,16
makes,16
noble,16
speech,16
sword,16
welcome,16
betweene,15
ere,15
farewell,15
kin,15
many,15
marry,15
since,15
stand,15
better,14
drinke,14
eye,14
heard,14
liue,14
o're,14
question,14
rest,14
sent,14
spirit,14
therefore,14
thine,14
tongue,14
watch,14
youth,14
after,13
beare,13
beene,13
breath,13
cause,13
else,13
finde,13
fortinbras,13
gertrude,13
goes,13
gone,13
is't,13
last,13
little,13
marke,13
none,13
reynol,13
said,13
same,13
saw,13
state,13
thought,13
vertue,13
vse,13
wee'l,13
while,13
without,13
ayre,12
blood,12
bring,12
euer,12
faith,12
farre,12
fit,12
forme,12
foule,12
friend,12
further,12
gentlemen,12
grace,12
helpe,12
madam,12
meane,12
purpose,12
reason,12
remember,12
selues,12
something,12
bed,11
being,11
best,11
dost,11
each,11
excellent,11
fire,11
graue,11
honest,11
in't,11
kinde,11
newes,11
passion,11
please,11
reuenge,11
right,11
rosincrance,11
stay,11
things,11
verie,11
villaine,11
way,11
winde,11
word,11
action,10
alone,10
barn,10
businesse,10
command,10
doubt,10
face,10
free,10
full,10
giuen,10
greefe,10
guil,10
heauens,10
hell,10
here,10
iudgement,10
lady,10
late,10
marcellus,10
mee,10
minde,10
murther,10
name,10
oft,10
pyrrhus,10
second,10
sleepe,10
together,10
twere,10
voyce,10
ye,10
act,9
alas,9
answer,9
armes,9
brothers,9
deare,9
draw,9
eares,9
fellow,9
fine,9
fortune,9
gentleman,9
get,9
gho,9
goodnight,9
hands,9
hora,9
neere,9
offence,9
ought,9
peace,9
phrase,9
seeme,9
strange,9
sweare,9
thankes,9
three,9
walke,9
